job_title,skills
"Analyst, Consumer Insights","Market Research, Trend Analysis, Consumer Insights, Data Analysis, Business Intelligence, Qualitative Research, Quantitative Research, Ideation, Category Strategy, Product Development, Innovation Development, Marketing Strategy"
 Lead Business Intelligence Data Analyst - BI Team Manager,"Data Analytics, Data Management, Business Intelligence, Website Analysis, Quantitative Analysis, Qualitative Analysis, SQL, Tableau, Python, Project Management, Digital Marketing"
 Director of Business Intelligence,"Data Engineering, Business Intelligence (BI), SQL, ETL Technologies (e.g., SSIS, Informatica, Pentaho, DataStage), Object-Oriented Programming (e.g., Python, Java, C, C++), AWS Analytics, Database, and Management Tools, Data Warehouse/Lake Architecture, BI Technologies (MicroStrategy, Looker, Tableau, ThoughtSpot)"
 Business Solutions Analyst / Manager,"Business Intelligence Tools, Power BI, MS Office Applications, Advanced Excel Skills, Data Modeling, Database Design, SQL, Oracle EPM Tools (Hyperion, Essbase, JD Edwards), Project Management, Data Visualization Tools (Tableau), Business Process Redesign, Forecasting and Budgeting Process, Excel Templates"
Business Intelligence Analyst,"Business Intelligence, BI Tools (Qlik Sense), Excel, SharePoint, Data aggregation, Relational databases, Data schemas, Data visualization, Dashboard implementation"
" Sr. Analyst, Market Intelligence","Market research, Competitive analysis, Data analysis, Industry trend analysis, Market intelligence, Data modeling"
Sr. Business Intelligence Analyst,"Business Intelligence Reporting, Data Analysis, Data Architecture Design, Statistical Methodology, Data Modeling, ETL Processes, SQL, Database Management, Tableau, Statistical Modeling, Descriptive Analytics, Data Warehousing, Programming (Python)"
Financial Analyst,"Financial analysis, Financial modeling, Strategic planning, Budgeting, Forecasting, Data analysis, Microsoft Excel, Reporting, Business intelligence tools"
Business Systems Analyst,"Excel, SQL, Power BI, QlikView, Business Intelligence"
Business Intelligence Analyst II,"Business requirements analysis, Application design and development, Systems integration, Database schema design, Business Intelligence (BI) dashboards, Data modeling, BI/Data Warehouse (DW) reporting solutions design, Business Intelligence applications administration, Standard and procedures compliance, Oracle OBIEE, Tibco Spotfire, PowerBI, ETL processes (Informatica or Oracle Data Integrator)"
"Test Analyst, Business Information Systems","Software Quality Assurance, SQL, Data Warehousing Methodology, ETL, Data Modeling, Business Intelligence, Test Automation Tools, Jira, Confluence, Informatica, ODI, SAP Data Services, SAP BW/HANA, Datastage"
 O365 Messaging Architect,"Office 365, Azure AD Connect, Exchange Online, SharePoint Online, Exchange Server, O365 migration, Excellent analytical and problem-solving abilities, PowerShell scripting, EM+S, Federation Services, Identity Management"
 Cloud Architect,"Architecting software for home network devices, Virtual CPE technologies, Understanding of cloud architecture, Thread programming, IPC (Inter-Process Communication), Network protocols in LINUX, Cloud Technologies including AWS"
Backend Architect,"Software engineering, System architecture, REST, Microservices, Cloud computing, Continuous integration, Continuous deployment, CircleCI, Jenkins, Programming languages (Python, Go, JavaScript), Agile development, Application metrics, Performance monitoring, API development, API architecture, API integration, Documentation, Security, Instrumentation"
 IOT Architect,"IoT Technology, Enterprise Software Development, Systems Modeling (Rational Rose, UML, BPMN, Archimate), Application Integration, Services Oriented Architecture Design, Resource Planning, Cloud Providers (AWS or Azure), API Gateway and ESB, SOAP and REST Services, Message Oriented Middleware (JMS, MQ Series), Big Data Architecture, NoSQL Databases, Machine Learning Concepts, MVC Frameworks, Oracle SOA or Mulesoft or Layer 7, Weblogic or Websphere or JBoss, Cloudera or Hortonworks, Cassandra or HBase, Apache Spark, JMS or Kafka or RabbitMQ, Python or R or Scala, Docker, Hadoop Certification"
Cloud Management Architect,"Cloud-native applications, Programmability, APIs, Private and Public Cloud Deployments, Multi-Cloud Management Platform, Microservices based architecture, Open source software, Full-stack development, UX design, Software Design and Architecture, Agile development, Container deployments (Kubernetes, Docker), CI/CD and DevOps (Jenkins, GIT), Programming languages (Java, Python, GoLang), Persistence technologies (Cassandra, MongoDB, ElasticSearch, Mysql), Cloud Native software development, OpenStack, Openshift, Monitoring tools"
Architect (fullstack),"Strong problem-solving skills, Full Stack experience, Data structures and Algorithms, Databases, Object-Oriented Design, Distributed systems, Restful APIs, Cloud services, Programming languages (Java, C++/C, Python, etc.), Jenkins, AWS or Azure, Node.JS, Hadoop or MapReduce"
 Google Cloud Solutions Architect,"Cloud architectures, Google Cloud Platform (GCP), Microsoft Azure, Database and data warehouse technologies, Java, Python, Scala, SQL, Hive, Impala, Apache Hadoop, Cloudera, Hortonworks, MapR, BI platforms, Reporting tools, ETL engines, MPP systems, Continuous delivery and deployment tools, Cloud certifications (e.g., Google Cloud Professional Cloud Architect, Google Professional Data Engineer, AWS Certified Solutions Architect/Big Data, Microsoft Azure Architect)"
Director,"Information technology strategic planning, Infrastructure architecture, Engineering, Information security, Cross-function IT discipline, Technical solution engineering, Lifecycle management, Capacity planning and forecasting, Operational readiness, Local and wide area networking, Service integration, System management, Service monitoring frameworks, Development support, Test environment management, Requirements management, Service level management, Information security functions and activities, Security architecture, Incident response, Security/audit compliance, Information security technology solutions, ITIL, COBIT, HITRUST, PMP certifications, Bachelorâs degree in Information Security and Technology, Masterâs degree in related field"
 NextGen/Cloud Digital Performance Certification Delivery Leader,"Performance testing and certification, Workload analysis, Strategy definition, Monitoring, Execution and stakeholder reporting, Performance bottleneck triaging, NextGen technologies (Microservices, PCF Cloud, API-M), Code profiling, Systems monitoring, alerting, and analytics (AppDynamics, Logstash, Splunk), APM Tools (e.g. AppDynamics, CA Introscope), Performance Testing tools (e.g. Microfocus Performance Center), Enterprise-scale Application Performance testing and Optimization"
Cloud / AWS Architect,"Cloud platforms (AWS, Google Cloud Platform), Application architecture, DevOps pipelines, Automated deployment workflows, Legacy application refactoring, Continuous integration and continuous delivery, Information Security, Test-driven development, DevOps models, Container technology (Kubernetes)"
" IT Director, Cloud and DevOps","Automation, Monitoring, Self-service technologies, Cloud technologies, DevOps, Continuous integration/continuous deployment pipelines, Cloud deployment/management strategies, Architecture design for scalability, reliability, and availability, Data analysis for predictive forecasting, Load testing, Role-based access control, Trend analysis, Component monitoring, End-to-end monitoring, Code quality maintenance, Static and dynamic analysis, DevOps tool chains (e.g., Puppet, Chef, git, terraform, cloud formation), Amazon AWS and APIs"
Cloud Consultant,"Microsoft Azure, Google Cloud Platform, Amazon Web Services, Infrastructure-as-a-Service, Platform-as-a-Service, Software-as-a-Service, Solution Architecture, Cloud Solutions, Technical Requirements Analysis, Infrastructure Design, Automation, DevOps, Ansible, Puppet, Chef, Docker, Virtualization, Active Directory, Security Principles, Networking Principles, DNS, Load Balancers, Performance Analysis, Troubleshooting, Disaster Recovery, Hardware and Storage Sizing, Cloud Ecosystem, Emerging Technologies"
 Marketing Specialist - All Levels,"Marketing Strategy Development, Market Research, Project Management, Customer Engagement, Digital Marketing, Retail Marketing, E-commerce Strategy & Solutions, Brand Management, Global Market Development, Freight Marketing, Content Management, Website Analytics, Multi-channel Marketing Campaigns"
Architect,"Architecture Design, Cloud Technologies (Azure), Business Applications (Dynamics 365), Business Intelligence Solutions, SQL, Application Architectures, Cyber Security Solutions, Solution Integration, Consulting Skills, Project Management, Quality Assurance"
"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Cloud computing, Software development, Java, Python, Go, JavaScript, C++, Healthcare IT infrastructure, Life sciences IT infrastructure, Data management, Solution designing"
Salesforce/CRM - Cloud Applications Architect,"Salesforce, CRM, Cloud Applications, Quote to Cash, Scripting languages, CRM projects configurations, CRM automated processes, Oracle ERP Integration, User interface design, Data integrity protocols, Source control, Design control processes, Oracle CPQ BigMachines, Integration tools (e.g., informatica, Oracle SOA), Project Management, ServiceMax, Oracle SQL, PL/SQL, Eloqua, Java, JavaScript, SFDC (Salesforce Development) - Apex, VF, JIRA, Fisheye, SVN, Jenkins, Agile methodology, Waterfall software development methodology"
Senior Cloud Solutions Architect,"Cloud Computing, Microsoft Azure, AWS, Hybrid Cloud, Amazon Web Services, Google Cloud, Solution Architecture, IT Services, Consultation"
"Technical Editor, Google Cloud","Writing conceptual overviews and procedures, Reading and writing example code, Updating help center queries and FAQs, Editing technical content, Managing deadlines and deliverables, Creating standards, templates, and editorial guidelines, Working with information architecture and content management systems, Experience with cloud technologies"
 Cloud IoT Architect,"Data pipelines, Big data placement and processing frameworks, Hot path data processing, Scalable solutions for data storage and processing, Connecting big data with neural network systems, Data analytics, IoT streaming data processing, Azure or AWS cloud systems, Spark, Neural Networks, C/C++, Python, Java, R, Spark, Storm, NoSQL, Hadoop/HBase"
HBO Cloud Architect,"AWS Certified Solutions Architect - Professional, AWS Certified DevOps Engineer - Professional, Cloud-based development platforms (AWS or GCP), Identity management and federation in AWS, HTTP, REST, networking concepts, Distributed version control systems (Git), DevOps technologies (e.g., Terraform, Ansible, Kubernetes), Troubleshooting technical integration issues, Automation tooling for cloud platforms, Performance testing and tuning"
 Adobe Marketing Architect,"Architecting Adobe campaign cloud solutions, Integrating Adobe Marketing Cloud products, Understanding of emerging digital trends, System requirements design and prototyping"
 Professional Services Architect,"Software implementations, Configuration, Integration, Troubleshooting, ERP integration, ETL/interface mapping, SQL, XML, File Transfer Protocols, ANSI X12, EDIFACT, JSON/JavaScript"
 Business Administrator,"Microsoft software proficiency, Team SharePoint and OneNote management"
" Director, Cloud Transformation","Cloud strategy and transformation leadership, Cloud services implementation & migration (IaaS/PaaS), Technology and cloud services architecture development, Infrastructure automation/orchestration technologies, High availability architecture, Collaboration technologies, DevOps, IT Operations Automation, Database/application server architecture, Network architecture and design, Information security, IT operations/IT service management"
Cloud Architect - AWS,"Application Support, AWS Experience, Information Technology, Communication Skills, Troubleshooting Skills, PCI Compliance, MS Windows Applications, Programming, AWS Certification, IAAS Services, SAAS, DevOps, Unit Testing, Cloud Computing, Point-of-Sale Applications, SQL, Logging Tools, Mobile Technologies"
 3D Graphic Designer,"D graphic tools, D/3D texturing tools (3DS MAX, MAYA, Unity, Unreal), Environment modeling, Point clouds, GIS data, DTED, Problem-solving, Programming (Python, Matlab, VBScript), CAD software, Driving simulation environment (CarMaker, CarSim, SCANeR)"
Managing Delivery Architect - Solution Architect - Cloud Native,"Enterprise cloud architecture, Cloud native transformation, Cloud deployment platforms (AWS, Azure, private cloud, PCF, Bluemix), App development and architecture, SOA based applications in Java, Microservices architecture, Cloud Native principles and techniques, DevOps (CI/CD), PaaS platforms (PCF, AWS), TOGAF 9, IAF level 1"
 Architect (fullstack),"Problem-solving skills, Leadership, Coding, Full Stack experience, Data structures and algorithms, Databases, Multi-tier solution design, Programming languages (Java, C++/C, Python), Object Oriented Design, Distributed systems, Restful API's, Cloud services (AWS, Azure), Node.JS, Hadoop or MapReduce, Amazon storage engine"
"Strategic Architect, Professional Services","Data Integration, BI, Data Warehousing, MDM, Application Integration, Cloud Infrastructure (AWS, Google, Azure), Big Data, RDBMS, Data Management, Data Quality, Data Governance, Data Architecture, Hadoop, Spark, Linux/Unix"
"Cloud Security Engineer/Architect (Office 365) | Remote, USA","Cloud Security Architecture, Office 365 Security, Azure Platforms Integration, Security Assessments, SaaS Security Assessments, Automated Tools (CASB)"
Enterprise Architect,"Enterprise architecture, Cloud computing, Service delivery, Billing, SLA management"
 Technical Solutions Architect,"Systems integration, Data analysis, Engineering, Product management, Software architecture, Agile development, ETL processes, iPaaS technologies, SaaS, Cloud-based solutions, Java, C++, REST, SOAP, WSDL, ODATA"
 Cybersecurity â Cloud Consulting,"Cloud service and deployment models, Cloud-native/Cloud-friendly authentication mechanisms, Cloud access security brokers (CASBs), Network security, Authentication, Security protocols, Access control, Cryptography, Application security, Data protection, Microsoft Azure, Amazon Web Services (AWS), VMware virtualization solutions, Pivotal, Windows and Linux based platforms, CSA CCM, NIST, ISO, PCI, Sarbanes Oxley, HIPAA, EU GDPR, Security technologies (Firewalls, IDS/IPS, Vulnerability Scanning, WAF, Wireless LAN, NAC, DLP, DDoS Mitigation, WAN security, SIEM, Content Filtering, Cloud Security gateways, Secure Proxies, SSL crypto solutions)"
 Software Architect,"Microsoft .Net Framework and/or Core (C#), Designing cloud environments and architecting cloud-native applications (AWS), Technical Cloud Architectural knowledge, Architecting and building low latency, high traffic websites and systems, API management toolsets, DevOps, server infrastructure, network infrastructure, caching methodologies, information security, database technologies, CI/CD, infrastructure as code, Software Development processes: Code Reviews, Code standards, Architecture governance, MS SQL Server, T-SQL, Messaging (RabbitMQ), NoSQL (Redis, Cassandra, Elastic Search, others), Cloud AWS (S3, EC2, Lambda, API Gateway, DynamoDB, RDS), Splunk, AppDynamics, Nice to have: Terraform, Docker, Kubernetes"
" Solutions Architect, Google Cloud","Cloud computing, Infrastructure, Storage, Platforms, Data, Java, Go, Python, PHP, Documentation, Continuous integration/deployment, SQL/NoSQL, Networking, Security, Cloud-based delivery models"
" Cloud Solution Architect, Director","Network Security, Proxy, Routing, Remote Access, VPNs, PKI, WLAN, Firewalls, Application Delivery Networks, Public, Private, and Hybrid Deployments, AWS & Microsoft Azure, Data-center Networking, Service Provider Networking"
Architect,"System architecture/design principles, Object design, CS fundamentals, Programming fundamentals, Java, C/C++, Web technologies, Distributed systems, Analytical skills, Problem-solving skills, Leadership, Agile/Scrum, TDD, Hadoop, NoSQL, Data mining/machine learning, Web scraping, Text mining, Search technology, Ad network"
 Director of Scale for Customer Success (Intelligent Cloud),"Sales experience, Channel development, Intelligent Cloud products knowledge, ISV enablement, SaaS providers enablement, System Integrators enablement, Executive communication, Strategic thinking, Program creation, Budget management"
 Cloud Engineer,"Linux/Windows administration, Automated deployments, Scripting (Bash/PowerShell/Python), Infrastructure as code (CloudFormation, Terraform), Networking and network security, AWS infrastructure knowledge (EC2, RDS, S3, VPC, CloudFormation), Service architecture and containerization (Docker, Kubernetes), Continuous Integration/Deployment tools (Git, TFS, Jenkins), Configuration management frameworks (Puppet, Chef, Ansible), Data management (MySQL, MSSQL, Postgres, DynamoDB, Mongo, ElasticSearch), Programming languages (C, Node.js, Python, Ruby, Go)"
 Cloud Development Architect,"IT solution architecture, Project management, Systems integration/administration, Cloud platforms (AWS, Azure, Google Cloud Platform), Technology consulting, Pre-sales material development, Business strategy alignment, Architecture specification, Solution roadmap development, Infrastructure and technology platform selection, Presentation skills"
Engineer,"Java, AngularJS / Angular, Spring framework, Microservices architecture, RESTful API development, JBOSS, Tomcat, XML, JSON, Cassandra, Oracle, SOAP API, Kafka"
 UC Helpdesk Level 1,"Basic understanding of Cisco Unified Communications Manager/Unity Connection/Contact Center Express applications, Understanding of TCP/IP and OSI models, Knowledge of IPv4 and IPv6, Familiarity with remote access tools like Telnet, SSH, VNC, RDP, Ability to use network monitoring tools, Proficiency in capturing trace files, debugs, sniffers, etc., Familiarity with Cisco troubleshooting documentation and tools like Bug Search/Product Compatibility Matrix/License Management tool"
 Enterprise Architect,"Programming principles and patterns, Standard tools for software development, Server architecture, Security standards, Database access and usage, Deployment processes, GUI manipulations, HTTP request/response, JavaScript, Digital technology strategy, Technical architecture, User experience, Agile methodology, Scrum methodology, Technology consulting, Cloud-based solutions, Automated infrastructure (e.g., Docker, Kubernetes), PaaS (e.g., Azure Services, AWS Elastic Beanstalk), Serverless computing (e.g., Azure Functions, AWS Lambda), Asynchronous messaging (e.g., Azure ServiceBus, AWS Simple Queue Service), Various database technologies, use cases, and performance"
 Accounts Payable Specialist,"Accounts Payable, General Ledger Transactions, GP Dynamics (Great Plains), Concur, Financial Reporting, Audit Assistance, International Transactions, Exchange Rates"
Student Internship - Architecture - Fall 2018,"Revit, AutoCAD, BIM modeling software, Adobe Creative Cloud Suite (Adobe Photoshop, Illustrator, InDesign), -D computer rendering skills (SketchUp, 3ds Max), MS Office (Excel, Word, Outlook, PowerPoint)"
"Sitecore Architect, Chicago Digital Studio","Soft Skills:, Creative thinking, Strong management skills, Technical skills, Planning skills, Consulting skills, Customer interaction skills"
Enterprise Cloud Sales rep,"Cloud Computing, Infrastructure solutions (Server, Storage, DC Services), Internet architectures (firewalls, load balancers, etc), Strategic selling methodologies, Technology deal negotiation, Customer relationship management, Data analysis metrics"
VP Cloud Operations,"ASP.NET MVC, REST API, Dependency Injection, Application Security, Data Access ORM (Dapper and Entity Framework), Azure Services (Web Apps, Cosmos, Web Jobs), SOLID Principles, Agile processes, JavaScript and HTML5, JavaScript frameworks (Angular 2 or 4, React), CSS and JS methods, Web services architecture"
 Architect,"Software engineering, Java, Cloud security, Identity federation, OIDC/OAuth2, SAML2, AWS, Azure, Pivotal Cloud Foundry, Docker, API and microservices (REST, SOAP)"
 Solution Architect,"Data analytics architecture, Business intelligence, Project management, Database technologies (SQL), ETL technologies (Informatica, SSIS), Business analytic tools (Power BI, MicroStrategy), Scripting languages (Python, R), ERP (SAP), Enterprise Cloud Computing (Azure)"
Cloud Solution Architect,"**Technical Skills**, Architecture design, Microsoft Data Platform, SQL Server and Azure Data Services, Cloud deployment, Data visualization, Database architecture, ETL, Data Mining, Business Intelligence, Big Data, Machine Learning, Data Governance, No-SQL database, Advanced Analytics, Presentation skills, Consulting/Architecture"
"Technical Account Manager, Google Cloud Professional Services","Data analysis, Troubleshooting, Cross-functional teamwork, Enterprise infrastructure implementations, Cloud platform design, Big Data solutions, Application development, Strategic roadmapping, Digital transformation, Customer feedback analysis, Capacity planning, Product release management"
ATSV-Product Test Architect,"Manual & automation testing, SDLC, Agile Scrum, Software development (Java), Test Automation Development, Relational Database Management (Oracle, SQL, MySQL), Web Services Testing, Analysis, Troubleshooting, and Problem Solving, Performance Testing, Agile Planning tools (e.g., JIRA), Functional Test Automation tools (e.g., Selenium WebDriver, UFT), Mobile Test Automation tools (e.g., Perfecto Mobile, Appium), Web Service Testing Tools (e.g., CA LISA, SoapUI), Source Code Management Tools (e.g., Git, TFS, RTC), IDE (e.g., Eclipse, Visual Studio, Xcode, Android Studio), Continuous Integration tools (e.g., Jenkins, Hudson), Testing on Cloud (Sauce lab, Perfecto), BDD automation using Cucumber or JBehave"
Cloud Client Executive,"Software-as-a-Service, Infrastructure-as-a-Service, Platform-as-a-Service, Sales automation tools, Cloud Solutions, Solution architecture"
Solution Architect,"Solution Architecture, Product Development, Web and/or Mobile Security, Cloud Security, Design Patterns, Frameworks, Java-based Technology, NET-based Technology, SOA Architectures, Microservices, Cloud Deployments"
Oracle Cloud Financials Solutions Architect,"Oracle Cloud ERP applications, Oracle Financials, Business process design/re-engineering, Gap/fit analysis, Reporting analysis, Application configuration, CRP testing, User training, Production support, Oracle's AIM methodology, Oracle SQLPlus, Discoverer, XML Publisher, Vertex, Systems, CPA or accounting background, Cloud certifications"
 Virtualization Architect,"Virtualization technologies, Infrastructure sizing and consolidation, VMware vCenter/ESXi administration, VMware vSphere deployment and management, Server consolidation, Windows server administration, Virtual Networking (vSwitch & dvSwitch), Storage management (SAN/NAS), Disaster recovery tools (SRM), HP/Dell hardware platforms, MS Clustering/AD/DNS, OS performance tuning, PowerShell/PowerCLI"
Architect,"Architecture Design, Product Development, Product Management, Operations Management, Scrum Methodology, Software Development, Code Review, Cloud Systems, NET Framework, Java, SQL Server, Oracle Database"
Exhibit Project Coordinator,"Project coordination, Budget management, Contract management, Deadline management, Logistics coordination, Content editing, Graphic design coordination, Expense monitoring, Payment processing, Computer software proficiency (MS Office, Google Apps, project management tools), Adobe Creative Suite knowledge, Architectural drawings interpretation"
 Azure Cloud Architect Associate - Consumer Markets,"Next Generation Converged Data Center Infrastructure, Unified Fabrics, Virtualization, Orchestration, Security, Cloud solutions, Data Center solutions, Infrastructure architecture, Networking, IT service management, Disaster recovery, Servers, Storage, Networking, Application Layer Solutions, IT strategy, IT roadmaps, IT architecture, IT engineering, IT operations, IT policy/processes/best common practices, IT innovation, Program delivery, Major networking, storage, compute, and security vendors knowledge (HP, Cisco, IBM, Dell, etc.), Project management, ITIL/ITSM, Azure certification"
 Cloud Architect,"Cloud migration strategy, Enterprise scale cloud solutions, Public cloud architecture, Microsoft Azure and Oracle Cloud expertise, Cloud infrastructure design, Application migration methodologies, Evaluation of new cloud technologies, Cloud feature gap assessment, Cloud optimization roadmaps, Cloud-native technologies, Architecture diagram preparation, Technical proof of concepts, Large-scale application support"
Cloud Solution Architect - Advanced Analytics & AI,"Microsoft AI and data platform technologies, BI technologies, Business Intelligence, Big Data, Data Governance, Data Science, Machine Learning, Artificial Intelligence, Azure ML, ML Server, BOT framework, Cognitive Services, Azure Databricks"
Cloud Consultant,"Cloud Computing, DevOps, Architecture Design, Application Development, Amazon Web Services (AWS), Microsoft Azure, Google Cloud, Automated Deployments, Agile Methodology"
 Integration Architect,"Integration Architectures, Development, Runtime Architectures, Operations Architectures, Integration Design Patterns, Service Oriented Architecture (SOA) Patterns, REST, XML, J2EE, Java, SOA Governance, Cloud-Based Services, Agile Methodologies, Model-Driven Techniques, Message-Driven Architectures, MuleSoft, Oracle SOA, Collibra APIs, Collibra Connect, SAP Business Objects, Oracle OBIEE, Tableau, Database-Level Integrations"
AWS Cloud Infrastructure Architect,"AWS, Terraform, Ansible, Datadog, Bitbucket, Linux, RHCE, EC2, S3, EBS, ELB, RDS, IAM, Route53, Cloudfront, Elasticache, Cloudformation, Automation, Configuration management, Bash, Perl, Python, Git, ECS, Docker, Continuous Integration/Continuous Deployment (CI/CD), TCP/IP"
Cloud Development Intern,"Java programming, Script development, Cloud application development, Documentation, Data structures, Software architecture design, SQL, No-SQL databases, Windows, Linux, Network technologies, Cloud computing (preferably AWS), Python, Scala, Software development processes, Agile methodology"
RVP Cloud Sales,"Cloud sales strategy, Business development, Go-to-market strategy, Services creation, Account management, Sales forecasting, Relationship management, Channel alignment, Competitive analysis, Market planning, Alliances and partnerships negotiation"
Cloud Automation Architect,"Automation Framework Design, DevOps Practices, Cloud Technologies, Infrastructure Automation, CI/CD, IaaS, PaaS, Enterprise Security, Scripting Languages (e.g., Powershell, Python), Jenkins, Ansible, Ansible Tower, Source Control (e.g., Github, Artifactory), Software Scalability, Oracle, Windows, Linux-based Software, Private Data Centers, Cloud Environments"
Magento Technical Architect,"Magento architecture, Magento development (Magento 1 & 2), Magento Cloud, rd party systems integrations, Performance optimization, Web application security, PCI compliance, Database architecture (MySQL), Linux environment (LAMP/LNMP stack), Object-Oriented Programming, Design Patterns, JavaScript, Frontend development concepts"
 Architect (Gain Theory),"Data processing, Database architecture, Data modeling, Big data concepts, Cloud computing, Open-source tools, Optimization techniques, SQL, Database platforms (SQLServer, Oracle, DB2, MySQL, Sybase, Postgres), Visualization tools (Tableau, Spotfire, Omniscope, MicroStrategy), System architectures, Scripting (R, Python, VBA, Perl), QA-focused"
"Technical Solutions Architect (Minneapolis, MN)","System/data integration, Enterprise architecture, Enterprise application integration, Data integration/EAI technologies, JavaScript, Unix-based operating systems, Relational databases, Data modeling, SaaS, Business intelligence/analytics, Agile Software development methodology"
 Cloud Integration Architect - US - San Francisco,"Integration & API, JAVA, XML, J2EE, XSLT, Integration tools (e.g. Dell Boomi, MuleSoft, WebMethods, TIBCO, IBM Cast Iron, Oracle SOA, SnapLogic, Jitterbit), Protocols/methods of communication (SOAP, REST, FTP, SFTP, FTPS, AS2, JDBC, JMS, MQseries, Mail, HTTP/HTTPS), Batch Processing, Parallel Processing, Performance analysis and tuning, Core Java, JavaScript, Groovy, SQL, Databases (Oracle/SQL Server etc), Linux, Windows, Encryption/Decryption, PGP, GPG, Certificates for securing data"
Cloud Native Application Architect,"ELK, XL Release, NoSQL, Microservices, Rally, Splunk, MongoDB, Jenkins, Gradle, GITHUB, CouchBase, Cassandra, Rest API, Spring Framework, Maven"
Senior Integration Architect - Cloud/Middleware,"Middleware, Java Spring, Microservices, APIs, Pivotal Cloud Foundry, -factor development, CI/CD, Service oriented architecture, Oracle Fusion Middleware, Boomi, Integration platforms, Integration Patterns, IBM DataPower, Layer 7, Messaging products, Design patterns, HTTP/HTTPS/FTP/JDBC technologies, AMQP/MQ/JMS Queue Protocols, Oracle SOA Suite, Databases & SQL, Spring Batch, Spring Integration, Caching technologies, Dell Boomi platform, Pivotal development methodology, Test-driven development"
 Cloud Engineering Architect,"Cloud/SaaS Applications Development, Microservices Architecture, Full Stack Development, Application Security, AWS Architecture, DevOps, RESTful Services, JavaScript Frameworks, HTML5 and CSS, Networking Protocols, Persistence Technologies, Container Technologies, Programming Languages (Java, Python, Go, Scala), Data Structures and Algorithms, CI/CD Tools"
 Lead Cloud Architect,"Cloud application and data technical architectures, Cloud/hybrid cloud technology road maps, Architecture strategy development, Solution design, Scalability, maintainability, reliability, extensibility, usability, and security, Data and technology synergies, Microsoft Azure cloud technologies, AWS cloud technologies"
 Solutions Architect (Sitecore/CMS),"NET architecture, WCMS experience, C#, ASP.NET, SOAP & REST web services, Entity Framework, SQL Server, HTML, CSS, JavaScript, Git, Subversion, Integration of 3rd party systems, Sitecore and/or Umbraco experience, Documentation writing, Software development estimation, Technical presentations, Full stack web application development, Collaboration on multi-discipline project teams"
 Cloud Solution Architect (Bilingual in Mandarin a plus),"AWS solution design, Provision, Migration, Deployment, Operation, Java, C, ASP.Net, Net Core, HTML 5, CSS, Azure Cloud, Angular, RabbitMQ, MongoDB, MS SQL server, Project Management"
IT Coordinator,"End User Support, Technology Needs Assessment, System Performance Monitoring, Security Measures Implementation, Troubleshooting, Maintenance, Helpdesk Monitoring, Software Familiarity, Documentation, MS Windows Desktop, Microsoft Office, VMWare, Server Operating System Knowledge, Cloud Computing, Active Directory Understanding, Software Applications Knowledge"
Google Cloud Solution Architect (REMOTE),"Strong written and verbal communications skills, Ability to present technical concepts in a clear manner, Strong presentation skills, Problem-solving abilities, Relationship management skills, Advanced analysis capabilities, Expertise in OS, networking, and cloud architecture fundamentals, Knowledge of AWS, OpenStack, or GCP product sets"
Customer Success Architect,"Cloud Management Solutions (vRealize Automation, vRealize Operations, vRealize Log Insight, vRealize Business), Architectural Practices and Tooling, Integration of VMware products with third-party products, vSphere, vRealize, and NSX, Storage, Networking, Systems Management, Capacity Management and Monitoring, High Availability Solutions, Security Infrastructures, Public Speaking"
" Associate Director, Cloud Security Advisory",AWS Cloud Security
 Scrum Master (Los Angeles),"Scrum Master, Agile team leadership, SCRUM certification, Agile Applications Development, Support and Deployment, Business Analysis, ERP solutions, Technical tools/languages, Functional Architecture Design, Software Engineering & Architecture Knowledge, Testing"
RPA Architect,"RPA concepts, Process assessment, RPA platforms (Blue Prism, Automation Anywhere, UI Path), Technology and architecture concepts, Process documentation and analysis, Business analysis, System requirements specification, Problem-solving, Presentation skills"
Server/Back-Up Architect - MDW,"Storage Technology, Server Technology, Blade Technology, Consultative Sales, Pre-Sales Consultative Selling, Storage Infrastructure Management, Complex Solution Architecting, Customer White-boarding, Virtualization Solutions, Storage Analysis, Backup and Disaster Recovery Environments, Financial and Operational Reporting, Service Level Performance Monitoring"
Solutions Architect,"Unix and Linux System Administration, Enterprise Solutions and Architectures, Cloud Technologies, Big Data, Containers, Virtualization, Automation, Storage, RDBMS, ERP Software (e.g., Oracle, SAP), Clustering, High Availability, Linux Containers, Container Orchestration and Management, Automation and Configuration Management, DevOps, Continuous Integration (CI), Continuous Delivery (CD), Modern Application Frameworks"
 Cloud Architect,"Software-Defined Infrastructure, DevOps practices, Advanced Automation/Autonomics, Machine Learning, Cloud Adoption and Automation, AWS or Azure experience, Public and hybrid cloud solutions design, Cloud templates and software architectures, Configuration management systems, Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS), Software-as-a-Service (SaaS), Cloud business use cases, Containers (Mesos, Kubernetes, Docker), Micro-services, Spring Boot, Netflix OSS, Cloud Implementations (AWS EC2/EBS, IAM, CloudFormation, etc.), Azure ARM templates, SQL Server/pools, Active Directory, Configuration Management (Puppet, Chef, Ansible), Version Control (Git, GitHub, GitLab, Bitbucket), Deployment automation (CI/CD), Kanban, Agile methodology"
